Nöt talg;1;656;71;35.8;0;0;7;0
Gris späck;2;763;85;32.8;0;0;2.8;0
Gris ister;3;884;100;48.8;0;0;0;0
Kokosfett;4;884;100;92;0;0;0;0
Matfettsblandning havssaltat fett 80% berikad typ Bregott;5;712;80;39.2;0.5;0.4;0.5;2
Matfettsblandning fett 60% berikad typ Bregott mellan;6;534;60;26.6;0.5;0.5;0.4;1
Flytande margarin fett 82% berikad typ Milda culinesse;10;721;82;7.3;0;0;0;1.5
Hushållsmargarin fett 80% berikad typ Melba;12;710;80;36;0.4;0.4;0.1;1.5
Hushållsmargarin fett 80% berikad typ Milda;13;712;80;32;0.5;0.3;0.5;1.5
Lättmargarin fett 38% berikad typ Becel;17;348;38;8;3;0;0;1.2
Lättmargarin fett 40% berikad typ Lätt & lagom;20;381;40;12.4;6.2;0.5;0.5;1.2
Majonnäs fett 90% hemlagad;21;784;87.8;9.3;0.4;0.1;1.5;0.6
Sesamsås m. grädde;22;382;40.3;16;3.8;3;2.2;1
Gravlaxsås hovmästarsås hemlagad;23;438;42.4;3;13.3;7.8;2.1;1.4
Gravlaxsås kylvara;24;555;56;8.2;13.1;10.3;1.6;0.7
Remouladsås;25;707;78.8;8.3;1.1;0.5;1.4;0.7
Dressing vinägrett fett 45%;26;407;44.2;3.1;3.1;0.3;0.7;3.4
Smör fett 80%;29;729;82;55;0.5;0.5;0.4;1.2
Smör extrasaltat fett 80%;30;728;81.8;52.4;0.5;0.4;0.6;2
Smör osaltat fett 80%;31;728;81.8;52.4;0.5;0.4;0.6;0
Druvkärnolja;33;884;100;11.2;0;0;0;0
Majsolja;34;884;100;12.9;0;0;0;0
Olivolja;35;884;100;14.3;0;0;0;0
Tistelolja;37;884;100;9;0;0;0;0
Sesamolja;38;884;100;14.8;0;0;0;0
Sojaolja;39;884;100;14.9;0;0;0;0
Solrosolja;40;884;100;10.4;0;0;0;0
Vetegroddsolja;41;884;100;16.6;0;0;0;0
Dressing konserv. fett ca 25%;42;262;25;3.7;9.7;3.6;0.5;1.8
Dressing till sallad m. majonnäs fett ca 25% kylvara;45;303;25;3.8;19.7;18.2;0.5;1.7
Dressing fett 0%;49;60;0;0;13.1;10.4;1.6;0.4
Majonnäs fett 80%;50;666;72.4;5;5;1.5;1.3;1.1
